Questions,Answers,Subcategory
ถ้าสนใจจะเรียนวิศวะคอม/ เปิดรับเมื่อไหร่ ช่วงไหนบ้าง?,สามารถติดตามการเปิดรับสมัครได้ผ่านจากเฟซบุคเพจ CPE KMUTT Admission ,กำหนดการ/ประชาสัมพันธ์
สามารถติดต่อข่าวสารช่องทางการรับสมัครได้ที่ช่องทางไหนบ้าง? ,สามารถติดตามการเปิดรับสมัครได้ผ่านจากเฟซบุคเพจ CPE KMUTT Admission ,กำหนดการ/ประชาสัมพันธ์
วิศวะคอม/ สามารถสมัครเข้าเรียนยังไงได้บ้าง มีรอบอะไรเปิดรับบ้าง?,"มีทั้งหมด 4 รอบ โดยแบ่งเป็น
TCAS รอบที่ 1 แฟ้มสะสมผลงาน หรือ Portfolio โดยไม่มีการสอบข้อเขียน มีทั้งหมด 9 โครงการย่อย
TCAS รอบที่ 2 โควตา มีทั้งหมด 6 โครงการย่อย
TCAS รอบที่ 3 รับตรงร่วมกันรอบที่ 1 Admission1
TCAS รอบที่ 4 รับตรงร่วมกันรอบที่ 2 Admission2",Admission
วิศวะคอม/ TCAS รอบ 1 มีโครงการไหนเปิดรับบ้าง?,"1.Early Admission for International Programs KMUTT (เฉพาะนานาชาติ)
2.Active Recuitment
3.2B-KMUTT
4.คัดเลือกตรงความสามารถพิเศษและทุนเพชรพระจอมเกล้า
5.คัดเลือกตรงเรียนดี เฉพาะหลักสูตรปกติ
6.KMUTT International Admission ครั้งที่ 1 (เฉพาะนานาชาติ)
7.มูลนิธิ สอวน.
8.รับนักเรียนโครงการ วมว.
9.โควตา รร.เป้าหมาย",Admission
วิศวะคอม/ TCAS รอบ 2 มีโครงการไหนเปิดรับบ้าง?,"1.Active Recruitment
2.รับนักศึกษาโดยใช้สิทธิ์บุตรบุคลากร
3.รับนักศึกษาพิการ
4.คัดเลือกตรงโดยใช้คะแนน GAT/PAT เพื่อการกระจายโอกาสทางการศึกษา (รับนักเรียนทุกเขต ยกเว้นเขต1 และกรุงเทพฯ) 
เฉพาะปกติ
5.คัดเลือกตรงโดยใช้คะแนน GAT/PAT เพื่อผู้เรียนดี มีคุณธรรม (รับนักเรียนทุกเขต 1,3,4,5,9 และกรุงเทพฯ) 
เฉพาะปกติ
6.KMUTT International Admission โดยใช้คะแนน GAT/PAT (เฉพาะนานาชาติ)",Admission
วิศวะคอม/ TCAS รอบ 3ใช้คะแนนสอบอะไรบ้าง?,"รับตรงร่วมกันรอบที่ 1 Admission1 เน้นคะแนนสอบ มหาวิทยาลัยกำหนดเกณฑ์การคัดเลือกเอง ใช้คะแนน O-NET, GAT/PAT, 9 วิชาสามัญ, วิชาเฉพาะ",Admission
วิศวะคอม/ TCAS รอบ 4 ใช้คะแนนสอบอะไรบ้าง?,รับตรงร่วมกันรอบที่ 2 Admission2 เน้นการเรียนในชั้นเรียน ใช้เกณฑ์กลางในการคัดเลือก แบ่งเป็น 10 กลุ่ม GPAX 20% O-NET 30% GAT/PAT 50%,Admission
สมัครเข้าโครงการ Active Recruitment ได้อย่างไร?,"สามารถยื่นแฟ้มสะสมผลงาน หรือ Portfolio ที่เป็นผลงานเกี่ยวกับด้านคอมพิวเตอร์ ไม่มีการสอบข้อเขียน 
และส่งมาจดหมายหรือมายื่นสมัครได้ด้วยตนเองที่ภาควิชา ตามช่วงเวลาที่เปิดรับสมัคร
สามารถเข้าไปดูรายละเอียดเพิ่มเติมได้ที่
https://www.cpe.kmutt.ac.th/th/active-recruitment",Active Recruitment
ถ้าจะสมัครเข้าโครงการ Active Recruitment วัดผลยังไง? ดูอะไรบ้าง?,"ดูจากคะแนน GPAX คะแนนวิชาคณิตศาสตร์ คะแนนวิชาวิทยาศาตร์ และภาษาต่างประเทศ ผ่านขั้นตํ่าตามเกณฑ์ที่ตั้งไว้ของแต่ล่ะหลักสูตร และและมีคุณสมบัติเพิ่มเติม คือ มีความสามารถพิเศษในเชิง Professional Skill หรือ มีผลงานโดดเด่น หรือ ได้รับรางวัลระดับภาค ระดับชาติ หรือระดับนานาชาติ เน้นด้าน และด้านคณิตศาสตร์ หรือ
ผ่านค่ายโอลิมปิกวิชาการ ค่ายที่ 2 ของ สอวน.
สามารถเข้าไปดูคุณสมบัติผู้สมัครเพิ่มเติมได้ที่
https://www.cpe.kmutt.ac.th/th/active-recruitment",Active Recruitment
ถ้าจะสมัครเข้าโครงการ Active Recruitment ใช้เอกสารอะไรบ้าง?,"1.พิจารณาจากแฟ้มสะสมผลงาน (Portfolio) ที่ประกอบด้วย ประวัติส่วนตัว (ระบุหมายเลขโทรศัพท์และอีเมลให้ชัดเจน) ประวัติการศึกษา (แสดงผลการเรียน 5 ภาคการศึกษา) ประวัติผลงาน รางวัลที่ได้รับ ประวัติการฝึกอบรม และอื่นๆ
2. ผลการเรียน
3. ผลการทดสอบภาษาอังกฤษ เช่น TOEFL TOEIC IELS (ถ้ามี) *สำหรับผู้สมัครหลักสูตรนานาชาติ
สามารถเข้าไปดูรายละเอียดเพิ่มเติมได้ที่
https://www.cpe.kmutt.ac.th/th/active-recruitment",Active Recruitment
หลักสูตรHDSมีเกณฑ์การรับยังไงบ้าง?,"รับผ่านโครงการ Active Recuitment ผ่านรอบที่ 1 แฟ้มสะสมผลงาน 
โดยไม่มีการสอบข้อเขียนและรับผ่านรอบที่ 2 โควต้า",เกณฑ์การรับ
จะต้องใช้เอกสารอะไรบ้างในการสมัครเข้าศึกษา,เอกสารและรายละเอียดขึ้นอยู่การสมัครของแต่ล่ะโครงการ สามารถเข้าไปดูรายละเอียดเพิ่มเติมของโครงการต่างๆ และข่าวสารการเปิดรับสมัครของโครงการแต่ล่ะโครงการเพื่อรับเข้านักสึกษาได้ที่เฟซบุคเพจ CPE KMUTT Admission ,เอกสาร
การับสมัครเด็กเข้าเรียน มีทั้งหมดกี่รอบ? อะไรบ้าง?,"มีทั้งหมด 4 รอบ โดยแบ่งเป็น
TCAS รอบที่ 1 แฟ้มสะสมผลงาน หรือ Portfolio โดยไม่มีการสอบข้อเขียน มีทั้งหมด 8 โครงการ
TCAS รอบที่ 2 โควตา มีทั้งหมด 7 โครงการ
TCAS รอบที่ 3 รับตรงร่วมกันรอบที่ 1 Admission1
TCAS รอบที่ 4 รับตรงร่วมกันรอบที่ 2 Admission2",เกณฑ์การรับ
แต่ละหลักสูตรมีเกณฑ์การรับพื้นฐานยังไงบ้าง?,เกณฑ์การรับเข้านักศึกษาขึ้นอยู่กับโครงการแต่ล่ะโครงของแต่ล่ะหลักสูตร,เกณฑ์การรับ
หลักสูตรปกติมีเกณฑ์การรับยังไงบ้าง?,"เกณฑ์การรับเข้านักศึกษาขึ้นอยู่กับโครงการแต่ล่ะโครงการโดยหลักสูตรปกติจะเปิดรับ TCAS ทั้ง 4 รอบ
TCAS รอบที่ 1 แฟ้มสะสมผลงาน หรือ Portfolio โครงการที่เปิดรับ ได้แก่
1.Active Recuitment
2.2B-KMUTT
3.คัดเลือกตรงความสามารถพิเศษและทุนเพชรพระจอมเกล้า
4.คัดเลือกตรงเรียนดี
5.มูลนิธิ สอวน.
6.รับนักเรียนโครงการ วมว.
7.โควตา รร.เป้าหมาย
TCAS รอบที่ 2 โควตา ได้แก่
1.Active Recruitment
2.รับนักศึกษาโดยใช้สิทธิ์บุตรบุคลากร
3.รับนักศึกษาพิการ
4.คัดเลือกตรงโดยใช้คะแนน GAT/PAT เพื่อการกระจายโอกาสทางการศึกษา (รับนักเรียนทุกเขต ยกเว้นเขต1 และกรุงเทพฯ) 
เฉพาะปกติ
5.คัดเลือกตรงโดยใช้คะแนน GAT/PAT เพื่อผู้เรียนดี มีคุณธรรม (รับนักเรียนทุกเขต 1,3,4,5,9 และกรุงเทพฯ) 
เฉพาะปกติ
TCAS รอบที่ 3 รับตรงร่วมกันรอบที่ 1 Admission1
TCAS รอบที่ 4 รับตรงร่วมกันรอบที่ 2 Admission2",เกณฑ์การรับ
หลักสูตรนานาชาติมีเกณฑ์การรับยังไงบ้าง?,"เกณฑ์การรับเข้านักศึกษาขึ้นอยู่กับโครงการแต่ล่ะโครงการโดยหลักสูตรปกติจะเปิดรับ TCAS ทั้ง 4 รอบ
TCAS รอบที่ 1 แฟ้มสะสมผลงาน หรือ Portfolio โครงการที่เปิดรับ ได้แก่
1.Active Recuitment
2.2B-KMUTT
3.คัดเลือกตรงความสามารถพิเศษและทุนเพชรพระจอมเกล้า
4.KMUTT International Admission ครั้งที่ 1
5.มูลนิธิ สอวน.
6.รับนักเรียนโครงการ วมว.
TCAS รอบที่ 2 โควตา ได้แก่
1.Active Recruitment
2.KMUTT International Admission โดยใช้คะแนน GAT/PAT (เฉพาะนานาชาติ)
TCAS รอบที่ 4 รับตรงร่วมกันรอบที่ 2 Admission2",เกณฑ์การรับ
