Questions,Answers,Subcategory
ตารางสอบซ้อนต้องทำยังไง?,"นักศึกษาสามารถใช้เอกสาร สทน.19 เพื่อขอการเปลี่ยนกลุ่มวิชาเรียนได้ แล้วจึงส่งตอให้ภาควิชา
ลายเซ็นต์ที่ต้องการ;
1. อาจารย์ที่ปรึกษา 
2. เลขานุการภาควิชา 
3. หัวหน้าภาควิชา
*หมายเหตุ เฉพาะนักศึกษาปีที่ 4 เท่านั้น, ขอสอบซ้อนได้ไม่เกิน 2 วิชา
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/  ",ตารางสอบ
ถ้าจะดึงบางวิชาลงมาเรียนแทนตัวที่ติด f ได้ไหม ต้องทำอย่างไร,"นักศึกษาสามารถใช้เอกสาร สทน.19 เพื่อขอการเปลี่ยนกลุ่มวิชาเรียนได้ แล้วจึงส่งตอให้ภาควิชา 
ลายเซ็นต์ที่ต้องการ; 
1. อาจารย์ที่ปรึกษา 
2. เลขานุการภาควิชา 
3. หัวหน้าภาควิชา 
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/",ลงทะเบียนเรียน
เรียนต่อต่างประเทศต้องใช้เอกสารอะไรบ้าง,โดยปกติจะใช้คะแนนสอบภาษาอังกฤษ GPA และ Portfilo ตามที่แต่ล่ะโครงการกำหนด ให้นักศึกษาสามารถดูรายละเอียดเพิ่มและติดต่อกับทาง ICE KMUTT Facebook: https://www.facebook.com/International.Center.of.Engineering ,เรียนต่อต่างประเทศ
ดรอปได้ถึงเมื่อไหร่?,นักศึกษาสามารถตรวจสอบวันสุดท้ายของการถอนวิชาตามกำหนดการลงทะเบียนเรียนได้ที่ https://regis.kmutt.ac.th/web/registration/ ,เพิ่มลดรายวิชา
ตอนดรอปต้องขอลายเซ็นใครบ้าง?,"หากนักศึกษาต้องการถอดถอนวิชาหลังจาก 2 สัปดาห์แรกหลังจา่กช่วงลงทะเบียนเรียน, นักศึกษาสามารถใช้แบบฟอร์ม สทน.26
ลายเซ็นต์ที่ต้องการ;
1. เจ้าหน้าที่ทะเบียน 
2. อาจารย์ที่ปรึกษา 
3. หัวหน้าภาควิชา 
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/ ",เพิ่มลดรายวิชา
ฉันสามารถลงวิชาเสริมในเทอมนี้ได้มากที่สุดกี่ตัว,"นักศึกษาสามารถลงทะเบียนเรียนได้ถึงทั้งหมด 19 หน่วยกิต, แต่หากต้องการเรียนถึง 22 หน่วยกิตจะต้องยื่นเรื่องคำร้อง เอกสาร สทน.18 ให้ภาควิชา",หลักสูตร
หากมีเหตุต้องพักการเรียน สามารถพักการเรียนตอนนี้ได้ไหม ถ้าได้ต้องทำอย่างไรบ้าง?,"นักศึกษาสามารถเขียนใบคำร้องขอลาพักการศึกษา สทน.12 ส่งให้ภาควิชา เพื่อขอพักการศึกษาได้ แล้วยื่นให้ภาควิชา
ลายเซ็นต์ที่ต้องการ;
1. คณบดี
2. อาจารย์ที่ปรึกษา 
3. หัวหน้าภาควิชา 
* มีคำร้องออนไลน์ในระบบ New ACIS นักศึกษาโปรดยื่นคำร้องผ่านระบบ
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/ 
สามารถติดต่อเจ้าหน้าที่ 0-2470-8148 ในวันเวลาราชการ ",ลา/พักการเรียน
วิชาเลือกไหนน่าสนใจ?,"นักศึกษาสามารถเข้าที่ https://sinfo.kmutt.ac.th/ เพื่อเช็ครายวิชาที่สามารถลงทะเบียนได้
และนักศึกษาสามารถอ่านรีวิววิชาเลือกได้ที่นี่ https://pantip.com/topic/35921187?fbclid=IwAR26xKCwYhBOcx8Fi9_J-MOcijkrtmBUxK_sVFZinO0noKfVVxHpkQy9oDI ",หลักสูตร
ถ้าต้องการเปลี่ยน section ต้องทำอย่างไร,"นักศึกษาสามารถใช้เอกสาร สทน.26 เพื่อขอการเปลี่ยนกลุ่มวิชาเรียนได้ แล้วยื่นให้ภาควิชา
ลายเซ็นต์ที่ต้องการ;
1. เจ้าหน้าที่ทะเบียน 
2. อาจารย์ที่ปรึกษา 
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/   ",sec
ถ้าต้องการลงทะเบียนเรียนมากกว่า 19 หน่วยกิตต้องทำอย่างไร?,"นักศึกษาสามารถเขียนเอกสาร สทน.18 คำร้องขอลงทะเบียนต่ำกว่า/เกินกว่าหน่วยกิตที่กำหนด พร้อมระบุเหตุผลและความจำเป็นที่เพิ่มหน่วยกิต  ส่งให้แก่ภาควิชาฯ
เอกสารที่ต้องการ
1. แนบสำเนาผลการเรียนทุกภาคการศึกษา
2. สำเนาเอกสารการลงทะเบียน
ลายเซ็นต์ที่ต้องการ;
1. อาจารย์ที่ปรึกษา
2. หัวหน้าภาควิชา
3. มติคณะกรรมการประจำคณะ
*หมายเหตุ เฉพาะนักศึกษาปีที่ 4 เท่านั้น, มีคำร้องออนไลน์ในระบบ New ACIS นักศึกษาโปรดยื่นคำร้องผ่านระบบ
สามารถ Download คำร้องได้ที่นี่ https://regis.kmutt.ac.th/web/form/   ",ลงทะเบียนเรียน
