Questions,Answers,Subcategory
ใครเป็นหัวหน้าภาควิชาวิศวะคอม/?,ผศ.สนั่น สระแก้ว,คำถามทั่วไป
อาจารย์ในภาควิชาวิศวะคอม/มีใครบ้าง? ,สามารถดูรายชืออาจารย์ และบุคคลากรรวมถึงช่องทางการติดต่อได้ที่ https://www.cpe.kmutt.ac.th/th/staff,คำถามทั่วไป
วิศวะคอม/เรียนเกี่ยวกับอะไร?,"เรียนเกี่ยสกับซอฟต์แวร์, ฮาร์ดแวร์ ดาต้าและ เน็ตเวิร์ค",คำถามทั่วไป
วิศวะคอม/จบไปทำงานอะไร?,"สามารถทำงานได้ั้งสายงานซอฟต์แวร์, ฮาร์ดแวร์ ดาต้าและ เน็ตเวิร์ค ซึ่งขึ้นอยู่แต่ล่ะหลักสูตร",คำถามทั่วไป
วิศวะคอม/อยู่ที่ไหน?,"ภาควิชา, คณะวิศวกรรมศาสตร์
ชั้น 10-11, อาคารวิศววัฒนะ,
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี
126 ถนนประชาอุทิศ แขวงบางมด เขตทุ่งครุ กรุงเทพฯ 10140",คำถามทั่วไป
ติดต่อวิศวะคอม/ได้ทางช่องทางไหนได้บ้าง?,"ติดต่อได้ตามเวลาราชกาล ช่วงเวลา 9.00 -17.00 น.
เบอร์โทร (+66) 0 2470 9388 (หลักสูตรปกติ), 0 2470 9387 
(หลักสูตรนานาชาติ), และ 0 2470 9083 (สำหรับระดับป.โทและป.เอก)
อีเมล์ nongyao.jam@mail.kmutt.ac.th หรือผ่านทางเฟซบุค เพจที่มีชื่อว่า CPE@KMUTT",คำถามทั่วไป
วิศวะคอม/แตกต่างจาก IT อย่างไร?,"เรียนซอฟต์แวร์ฮาด, ฮาร์ดแวร์, Data และ เน็ตเวิร์ค 
แต่ IT เรียนเน้นไปในซอฟต์แวร์",คำถามทั่วไป
สามารถติดต่อได้ทางช่องทางไหนบ้าง ช่วงเวลากี่โมงถึงกี่โมง?,"ติดต่อได้ตามเวลาราชกาล ช่วงเวลา 9.00 -17.00 น.
เบอร์โทร (+66) 0 2470 9388 (หลักสูตรปกติ), 0 2470 9387 
(หลักสูตรนานาชาติ), และ 0 2470 9083 (สำหรับระดับป.โทและป.เอก)
อีเมล์ nongyao.jam@mail.kmutt.ac.th หรือผ่านทางเฟซบุค เพจที่มีชื่อว่า CPE@KMUTT",คำถามทั่วไป
เกียรตินิยมอันดับ 1 อยู่ที่เท่าไหร่?,ตั้งแต่เกรด 3.60 ขึ้นไป,คำถามทั่วไป
เกียรตินิยมอันดับ 2 อยู่ที่เท่าไหร่?,ตั้งแต่เกรด 3.25 ขึ้นไป,คำถามทั่วไป
